sample,gt_rows,pred_rows,joined_rows,row_completeness,gt_cols,pred_cols,matched_cols,matched_numeric_cols,matched_categorical_cols,unmatched_gt_cols,unmatched_pred_cols,col_match_rate,true_positives,false_positives,false_negatives,precision,recall,f1_score,avg_numeric_rmse,avg_numeric_corr,avg_categorical_exact_match,avg_categorical_overlap,task_completion_percentage,task_complete,token_usage,steps,time_taken,avg_task_completion_percentage,number_task_complete,total_token_usage,avg_token_usage,total_steps,avg_steps,total_time_taken,avg_time_taken
sample2_7ou8mfxe,16111,16111,16111,1.0,1,6,1,0,1,0,5,1.0,1,0,0,1.0,1.0,1.0,,,0.9998137918192539,0.8947368421052632,100.0,True,35781.0,5.0,78.18482708930969,,,,,,,,
sample14_9yk78_19,16111,16111,16111,1.0,16,16,16,0,16,0,0,1.0,9,7,0,0.5625,1.0,0.72,,,0.9606518838060952,0.8293180777555778,56.25,False,541577.0,16.0,801.0822126865387,,,,,,,,
sample8_7ry3m5k2,16111,9408,9408,0.5839488548196884,4,4,4,0,4,0,0,1.0,0,4,0,0.0,1.0,0.0,,,0.6662149234693878,0.5950757575757576,0.0,False,88946.0,4.0,659.5786316394806,,,,,,,,
sample20_5mkecdgf,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,0.9508410402830364,0.7272727272727273,100.0,True,46923.0,5.0,118.58702898025513,,,,,,,,
sample15_l1l2n3sy,16111,9408,9408,0.5839488548196884,2,2,2,0,2,0,0,1.0,2,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,59798.0,8.0,79.9020643234253,,,,,,,,
sample18_e0v88o2_,16111,14586,14586,0.9053441747874124,8,8,8,4,4,0,0,1.0,8,0,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,True,297790.0,11.0,335.14243507385254,,,,,,,,
sample7_kfeafsgx,16111,16111,16111,1.0,5,5,5,0,5,0,0,1.0,5,0,0,1.0,1.0,1.0,,,0.9960275588107503,0.8357575757575757,100.0,True,42231.0,3.0,397.87073612213135,,,,,,,,
sample12_lzqt0ywc,16111,16111,16111,1.0,6,6,6,0,6,0,0,1.0,6,0,0,1.0,1.0,1.0,,,0.9978068814267685,0.9901960784313726,100.0,True,473780.0,18.0,678.8449165821075,,,,,,,,
sample11_0ucpgxni,16111,16111,16111,1.0,8,16,8,0,8,0,8,1.0,8,0,0,1.0,1.0,1.0,,,0.9964930792626157,0.9174679487179487,100.0,True,121544.0,9.0,506.4250388145447,,,,,,,,
sample1_69w0qcsb,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,0.9947241015455279,1.0,100.0,True,21774.0,4.0,91.1800365447998,,,,,,,,
sample17_18xgp7bs,16111,14105,14105,0.8754887964744584,3,3,3,0,3,0,0,1.0,3,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,374953.0,10.0,523.2698338031769,,,,,,,,
sample19_uf9vljbz,16111,16111,16111,1.0,2,2,2,2,0,0,0,1.0,2,0,0,1.0,1.0,1.0,0.0,1.0,,,100.0,True,22839.0,5.0,52.73686647415161,,,,,,,,
sample13_wl2z1u2x,16111,16111,16111,1.0,10,10,10,0,10,0,0,1.0,3,7,0,0.3,1.0,0.4615384615384615,,,0.7350567934951275,0.8808813700918965,30.0,False,49451.0,5.0,60.225242614746094,,,,,,,,
sample9_ddde4i5j,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,1,3,0,0.25,1.0,0.4,,,0.9376202594500651,0.8315217391304348,25.0,False,453729.0,17.0,503.0372052192688,,,,,,,,
sample4_h7w2_i1f,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,4,0,0,1.0,1.0,1.0,,,0.9878188815095277,0.96875,100.0,True,11309.0,3.0,42.21743154525757,,,,,,,,
sample16_h2cdsr_c,16111,16111,16111,1.0,6,6,6,2,4,0,0,1.0,3,3,0,0.5,1.0,0.6666666666666666,0.08634352519343406,0.9999999807497304,0.9227546396871702,0.9016006621947024,50.0,False,185075.0,11.0,252.20672965049744,,,,,,,,
sample3_77luzbcj,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,0.9987586121283595,0.75,100.0,True,11591.0,3.0,29.277108192443848,,,,,,,,
sample6_qiruadwd,16111,16111,16111,1.0,7,8,6,0,6,1,2,0.8571428571428571,6,0,1,1.0,0.8571428571428571,0.923076923076923,,,0.999048269298409,0.9166666666666666,85.71428571428571,False,35669.0,5.0,688.9372053146362,,,,,,,,
sample5_8d15aok4,16111,16111,16111,1.0,5,4,3,0,3,2,1,0.6,3,0,2,1.0,0.6,0.7499999999999999,,,0.9979103304160718,0.875,60.0,False,63000.0,6.0,156.72800970077515,,,,,,,,
sample10_9_lf742z,16111,16111,16111,1.0,8,8,8,0,8,0,0,1.0,8,0,0,1.0,1.0,1.0,,,0.98604990379244,0.8055555555555556,100.0,True,738350.0,20.0,825.3421831130981,,,,,,,,
AGGREGATE,322220,305283,305283,0.9474365340450625,102,115,99,8,91,3,16,0.972857142857143,75,24,3,0.7575757575757576,0.9705882352941176,0.850954100051573,0.028781175064478023,0.9999999935832434,0.9540837342210847,0.8799895263818673,,,,,,80.34821428571429,13.0,3676110.0,183805.5,168.0,8.4,6880.775743484497,344.03878717422486
