sample,gt_rows,pred_rows,joined_rows,join_completeness,gt_cols,pred_cols,matched_cols,matched_numeric_cols,matched_categorical_cols,unmatched_gt_cols,unmatched_pred_cols,col_match_rate,true_positives,false_positives,false_negatives,correctness,completeness,output_yield,avg_numeric_rmse,avg_numeric_corr,avg_categorical_exact_match,avg_categorical_overlap,task_completion_percentage,task_complete,token_usage,steps,time_taken,avg_task_completion_percentage,number_task_complete,total_token_usage,avg_token_usage,total_steps,avg_steps,total_time_taken,avg_time_taken
sample15_5lokmef_,16111,9408,9408,0.5839488548196884,2,2,2,0,2,0,0,1.0,2,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,9835.0,3.0,8.765023946762085,,,,,,,,
sample17_hd41veuu,16111,16111,16111,1.0,3,3,3,0,3,0,0,1.0,3,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,996930.0,19.0,168.74744296073914,,,,,,,,
sample10__8nb9weg,16111,16111,16111,1.0,8,8,8,0,8,0,0,1.0,4,4,0,0.5,1.0,0.5,,,0.9220253243125814,0.5129731379731379,50.0,False,19706.0,3.0,24.214110851287842,,,,,,,,
sample20_urifnm_i,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,0.977282601948979,0.9,100.0,True,59684.0,5.0,43.087214946746826,,,,,,,,
sample6_ikrlrwg5,16111,16111,16111,1.0,7,4511,7,0,7,0,4504,1.0,7,0,0,1.0,1.0,1.0,,,0.9985014674978053,0.9183673469387755,100.0,True,156205.0,8.0,107.52286291122437,,,,,,,,
sample14_1jhnr657,16111,16111,16111,1.0,16,16,16,0,16,0,0,1.0,12,4,0,0.75,1.0,0.75,,,0.9760412140773385,0.9561043123543124,75.0,False,30195.0,3.0,36.09396314620972,,,,,,,,
sample16__4dy9bwh,16111,16111,16111,1.0,6,6,6,2,4,0,0,1.0,2,4,0,0.3333333333333333,1.0,0.3333333333333333,0.19874158717938895,0.9999999282176653,0.8022934640928558,0.71875,33.33333333333333,False,30936.0,4.0,31.081061124801636,,,,,,,,
sample8_m6ni5lf4,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,2,2,0,0.5,1.0,0.5,,,0.7492706846254112,0.48333333333333334,50.0,False,158060.0,6.0,141.9028079509735,,,,,,,,
sample13_640e0viv,16111,16111,16111,1.0,10,10,10,0,10,0,0,1.0,10,0,0,1.0,1.0,1.0,,,0.9967413568369438,0.9177777777777777,100.0,True,267251.0,11.0,99.99062418937683,,,,,,,,
sample11_ovw0r869,16111,16111,16111,1.0,8,8,8,0,8,0,0,1.0,3,5,0,0.375,1.0,0.375,,,0.7876218111849047,0.9052197802197802,37.5,False,47292.0,5.0,35.085144996643066,,,,,,,,
sample18_uw_yeybr,16111,16111,16111,1.0,8,8,8,0,8,0,0,1.0,4,4,0,0.5,1.0,0.5,,,0.6937418533920924,0.5128205128205128,50.0,False,466033.0,11.0,182.93832087516785,,,,,,,,
sample9_of5i4gcc,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,4,0,0,1.0,1.0,1.0,,,0.9941654770032897,0.8940217391304348,100.0,True,17220.0,3.0,15.931550979614258,,,,,,,,
sample4_n_mkv5ws,16111,16111,16111,1.0,4,6,3,0,3,1,3,0.75,1,2,1,0.3333333333333333,0.75,0.25,,,0.3356919702894503,0.5,25.0,False,103804.0,7.0,74.97527718544006,,,,,,,,
sample5_d1sqq0li,16111,16111,16111,1.0,5,6,5,0,5,0,1,1.0,5,0,0,1.0,1.0,1.0,,,0.9986593010986283,0.8531468531468531,100.0,True,12413.0,3.0,12.142791986465454,,,,,,,,
sample1_x8lts73l,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,0.9947241015455279,1.0,100.0,True,41141.0,5.0,43.8711678981781,,,,,,,,
sample2_9s1zc_kr,16111,16111,16111,1.0,1,6,1,0,1,0,5,1.0,1,0,0,1.0,1.0,1.0,,,0.9998137918192539,0.8947368421052632,100.0,True,26270.0,4.0,23.6876437664032,,,,,,,,
sample3_2j7va3h4,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,10490.0,3.0,9.04783582687378,,,,,,,,
sample7_zbrl0nnh,16111,16111,16111,1.0,5,5,5,0,5,0,0,1.0,4,1,0,0.8,1.0,0.8,,,0.9105207622121532,0.795,80.0,False,40960.0,3.0,27.500692129135132,,,,,,,,
sample19_phy4eq78,16111,16111,16111,1.0,2,2,2,2,0,0,0,1.0,2,0,0,1.0,1.0,1.0,0.0,0.9999999999999999,,,100.0,True,52995.0,7.0,37.54919791221619,,,,,,,,
sample12_2pu_6579,16111,16111,16111,1.0,6,6,6,0,6,0,0,1.0,1,5,0,0.16666666666666666,1.0,0.16666666666666666,,,0.4198373781888151,0.7273809523809524,16.666666666666664,False,86732.0,6.0,61.02490496635437,,,,,,,,
AGGREGATE,322220,315517,315517,0.9791974427409844,102,4614,101,4,97,1,4513,0.9901960784313726,70,31,1,0.693069306930693,0.9901960784313726,0.6862745098039216,0.09937079358969447,0.9999999641088326,0.8662622131130232,0.8003742553000615,,,,,,75.875,11.0,2634152.0,131707.6,119.0,5.95,1185.1596405506134,59.25798202753067
