sample,gt_rows,pred_rows,joined_rows,join_completeness,gt_cols,pred_cols,matched_cols,matched_numeric_cols,matched_categorical_cols,unmatched_gt_cols,unmatched_pred_cols,col_match_rate,true_positives,false_positives,false_negatives,correctness,completeness,output_yield,avg_numeric_rmse,avg_numeric_corr,avg_categorical_exact_match,avg_categorical_overlap,task_completion_percentage,task_complete,token_usage,steps,time_taken,avg_task_completion_percentage,number_task_complete,total_token_usage,avg_token_usage,total_steps,avg_steps,total_time_taken,avg_time_taken
sample3_f6f23zqo,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,0.9987586121283595,0.75,100.0,True,20725.0,4.0,53.764589071273804,,,,,,,,
sample7_l_apsi63,16111,16111,16111,1.0,5,5,5,0,5,0,0,1.0,5,0,0,1.0,1.0,1.0,,,0.9958289367512879,0.7466666666666667,100.0,True,67212.0,4.0,172.6560719013214,,,,,,,,
sample2_g0wyj7hk,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,0.999937930606418,0.9473684210526315,100.0,True,43565.0,5.0,179.58100414276123,,,,,,,,
sample13_orgf9djx,16111,16111,16111,1.0,10,10,10,0,10,0,0,1.0,10,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,22055.0,3.0,64.55649328231812,,,,,,,,
sample4_cofc4j4h,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,4,0,0,1.0,1.0,1.0,,,0.9993637887157842,0.96875,100.0,True,54554.0,6.0,177.85351872444153,,,,,,,,
sample17_gsvw8ff2,16111,16111,16111,1.0,3,3,3,0,3,0,0,1.0,3,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,19102.0,4.0,69.01499891281128,,,,,,,,
sample12_7cj9heoh,16111,16111,16111,1.0,6,6,6,0,6,0,0,1.0,6,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,19491.0,3.0,52.11848711967468,,,,,,,,
sample16__so1usaz,16111,16111,16111,1.0,6,6,6,2,4,0,0,1.0,6,0,0,1.0,1.0,1.0,0.1860798463035584,0.9999999326737135,0.998805164173546,1.0,100.0,True,14184.0,3.0,53.43287992477417,,,,,,,,
sample6_anv40ulg,16111,14404,14404,0.8940475451554838,7,7,7,0,7,0,0,1.0,7,0,0,1.0,1.0,1.0,,,0.9990875550442337,0.9285714285714286,100.0,True,26586.0,4.0,63.438376903533936,,,,,,,,
sample19_mpau714c,16111,16111,16111,1.0,2,2,2,2,0,0,0,1.0,2,0,0,1.0,1.0,1.0,0.0,1.0,,,100.0,True,43813.0,6.0,329.8383569717407,,,,,,,,
sample8_aqjr31on,16111,9408,9408,0.5839488548196884,4,4,4,0,4,0,0,1.0,2,2,0,0.5,1.0,0.5,,,0.7469972363945578,0.385218253968254,50.0,False,100163.0,5.0,214.83072781562805,,,,,,,,
sample10_dlunp4bd,16111,16111,16111,1.0,8,8,8,0,8,0,0,1.0,8,0,0,1.0,1.0,1.0,,,0.9788343367885296,0.821590909090909,100.0,True,36819.0,4.0,143.95613312721252,,,,,,,,
sample20_78wvcoji,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,0,1,0,0.0,1.0,0.0,,,0.7985848178263298,0.9,0.0,False,63761.0,5.0,272.6645691394806,,,,,,,,
sample11_uy_p6b8h,16111,16111,16111,1.0,8,8,8,0,8,0,0,1.0,8,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,14531.0,3.0,32.069889068603516,,,,,,,,
sample14_eb32j_ak,16111,16111,16111,1.0,16,16,16,0,16,0,0,1.0,10,6,0,0.625,1.0,0.625,,,0.9672157221773943,0.8074696137196138,62.5,False,64728.0,5.0,248.27818894386292,,,,,,,,
sample9_yyj4jz4i,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,4,0,0,1.0,1.0,1.0,,,0.9979517100117932,1.0,100.0,True,30321.0,4.0,83.6458990573883,,,,,,,,
sample15_8qy_itsy,16111,9408,9408,0.5839488548196884,2,2,2,0,2,0,0,1.0,2,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,213687.0,13.0,471.1880090236664,,,,,,,,
sample1_qaqflqw9,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,0.9947241015455279,1.0,100.0,True,52542.0,6.0,111.99172520637512,,,,,,,,
sample18_rgbz83yq,16111,14586,14586,0.9053441747874124,8,8,8,4,4,0,0,1.0,8,0,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,True,54765.0,4.0,196.97511196136475,,,,,,,,
sample5_ah1_z4sf,16111,16111,16111,1.0,5,6,5,0,5,0,1,1.0,5,0,0,1.0,1.0,1.0,,,0.9988455092793742,1.0,100.0,True,25449.0,4.0,105.41101694107056,,,,,,,,
AGGREGATE,322220,305582,305582,0.9483644714791136,102,103,102,8,94,0,1,1.0,93,9,0,0.9117647058823529,1.0,0.9117647058823529,0.0465199615758896,0.9999999831684283,0.979123281105307,0.9014767644946816,,,,,,90.625,17.0,988053.0,49402.65,95.0,4.75,3097.2660472393036,154.86330236196517
